n,level,coverage,signed_error,absolute_error,bias,mean_width
10,0.50,0.3856,-0.1144,0.1144,-0.000453,0.026067
10,0.80,0.6573,-0.1427,0.1427,-0.000453,0.049268
10,0.98,0.8742,-0.1058,0.1058,-0.000453,0.086972
20,0.50,0.4350,-0.0650,0.0650,+0.000317,0.020776
20,0.80,0.7197,-0.0803,0.0803,+0.000317,0.039580
20,0.98,0.9445,-0.0355,0.0355,+0.000317,0.072172
30,0.50,0.4557,-0.0443,0.0443,+0.000089,0.017737
30,0.80,0.7511,-0.0489,0.0489,+0.000089,0.033812
30,0.98,0.9552,-0.0248,0.0248,+0.000089,0.061934
50,0.50,0.4820,-0.0180,0.0180,+0.000117,0.014266
50,0.80,0.7653,-0.0347,0.0347,+0.000117,0.027189
50,0.98,0.9666,-0.0134,0.0134,+0.000117,0.049791
75,0.50,0.4752,-0.0248,0.0248,+0.000063,0.011897
75,0.80,0.7796,-0.0204,0.0204,+0.000063,0.022660
75,0.98,0.9714,-0.0086,0.0086,+0.000063,0.041437
100,0.50,0.4799,-0.0201,0.0201,+0.000053,0.010418
100,0.80,0.7822,-0.0178,0.0178,+0.000053,0.019833
100,0.98,0.9729,-0.0071,0.0071,+0.000053,0.036225
150,0.50,0.4898,-0.0102,0.0102,+0.000006,0.008603
150,0.80,0.7865,-0.0135,0.0135,+0.000006,0.016371
150,0.98,0.9752,-0.0048,0.0048,+0.000006,0.029857
200,0.50,0.5028,+0.0028,0.0028,-0.000122,0.007495
200,0.80,0.7925,-0.0075,0.0075,-0.000122,0.014257
200,0.98,0.9789,-0.0011,0.0011,-0.000122,0.025975
